"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cdkn1c",5.93916072742547,9.950706053447,8.01143324671553,1.05731455984035e-06,8.20620277694271e-05,5.86706725086146
"Kntc1",-4.09634560183958,9.37733951907609,-7.99727457614696,1.0799822751889e-06,8.28795386465187e-05,5.84735714920466
"Col11a1",7.92817447519079,12.2404424510337,7.98849122100136,1.09430137518156e-06,8.3045315472112e-05,5.83511549638512
"Srpx",4.57612609642706,7.97081935782421,7.95524577674899,1.15033944135957e-06,8.55913157164693e-05,5.7886798111615
"Emp1",4.4599805199506,12.155316486655,7.95375980998377,1.1529137695337e-06,8.55913157164693e-05,5.78660056893938
"B3gnt9",4.39770033526822,8.72205189862308,7.9450259363687,1.16816786960291e-06,8.57912532192245e-05,5.77437324772486
"Pcolce",5.41779762208064,12.7687325899451,7.91938522100782,1.2141926975008e-06,8.82227247226647e-05,5.73841299379655
"Pxdn",6.63636694137088,9.00691846060546,7.90156501507662,1.2473034832979e-06,8.9674555693944e-05,5.71336482306451
"Tbx18",5.43714712319108,8.58960817803986,7.88809844133671,1.27295596748097e-06,9.0565513103073e-05,5.69440567060974
"Aebp1",5.984757056088,9.76297365533966,7.85876702291154,1.33077405265346e-06,9.33530279170261e-05,5.6530199893384
"Spred1",3.5687251503553,9.82227140635599,7.84564497945343,1.35753057319699e-06,9.33530279170261e-05,5.63446479978998
"Mmp2",5.96262554175828,11.7192886115839,7.84257592305836,1.36386999616815e-06,9.33530279170261e-05,5.63012139998155
"Eps8",4.29483298574321,9.1035067574809,7.8411583727775,1.36680860786275e-06,9.33530279170261e-05,5.62811478780574
"Fkbp7",5.16912047079124,11.0244514845467,7.82620653632477,1.39821371277587e-06,9.39659436273592e-05,5.60693193419431
"Col8a2",6.21491625624919,9.54545669478547,7.82381919787987,1.40329813323435e-06,9.39659436273592e-05,5.60354668727593
"Col9a2",5.95952415081685,7.56625251198308,7.79697665687281,1.46182625027691e-06,9.69346921300128e-05,5.56542681899547
"2010309G21Rik",-6.68101614179851,10.9561336741396,-7.78453745227961,1.48981626986128e-06,9.78408184918517e-05,5.54772592506011
"Fkbp9",4.27760144066211,10.6059261909675,7.77220950120452,1.51811379328716e-06,9.87496876966792e-05,5.5301610569821
