"","D01.CEL","D02.CEL","D03.CEL","D04.CEL","D11.CEL","D12.CEL","D31.CEL","D32.CEL","D33.CEL","D71.CEL","D72.CEL","D73.CEL","D74.CEL","D121.CELL","D122.CEL","D123.CEL","D181.CEL","D182.CEL","D183.CEL","Symbol"
"100046_at",7.93055138758482,7.83305094912328,7.96776799315366,8.05970563834297,7.79285066525392,7.8719703743752,8.19216790077333,7.99074773506336,7.79923398656968,8.35667551473592,8.3987941608993,8.15758565183355,8.52753832620851,8.16108744105762,8.01078743675014,7.79863652321403,7.76830967675719,7.79073055401472,8.24475309633711,"Mthfd2"
"100047_at",3.41769984020689,2.71766124868137,2.98951697934195,3.04405559548751,3.17016672667382,2.99259416501334,3.2733505848241,2.96764937085035,3.10385285544778,3.26751621956196,2.9278177114112,3.18065174020703,3.05472792409043,2.83363938386841,3.07136196872121,3.27526175739138,3.27385459789809,3.26505940767602,3.24727359443983,"Snap25"
"100048_at",4.4518632192268,4.64676466879722,4.28172869731115,4.23480338323384,4.55409888740473,4.50520168015498,4.24914033507054,4.36388795673552,4.60930925144977,4.333237685642,4.53639371312617,4.42779863792832,4.61984344459633,4.40570735647223,4.42337944409661,4.46468052025489,4.55995614506352,4.52407227225697,4.48729149772967,"Rap1a"
"100049_at",3.30791702543296,2.72254250247751,3.25505275518273,3.04113598820766,2.9852406409826,2.84106432023576,3.16209199979439,2.885073007871,3.12809220759762,3.13616041963059,2.75819417362662,2.99680669302711,3.01881434038291,2.73862898525493,3.06257911267398,3.17122764145313,3.13333047603519,3.00373386127556,3.12879596947049,"Hmga1"
"100050_at",6.41259710628085,6.54063219819265,6.29702041449017,7.06612308867639,6.71984599518381,6.29325574348661,6.51889415082241,6.45580509076879,6.01018482430123,6.7231606443184,6.42582416806162,6.20559123676807,6.03646856191011,6.40300326679185,6.3308741947719,6.46393596230185,6.24633209267109,6.23181019763054,6.11715401428526,"Id1"
"100051_at",9.04745927744361,8.59356676426997,8.66790198410565,8.67855787190663,8.70889500618915,8.83941193258066,8.78856424849642,8.58336581555944,8.43222615217388,8.5876415933716,8.47957069116964,8.29624380504797,8.53857218287909,8.4430116593317,8.26746297001952,8.41574732355989,8.50844938490856,8.52386723113529,8.63533191806571,"Stom"
"100054_s_at",6.08106690617823,5.74161563998002,5.7586178377013,6.09439213057924,5.81695836515254,5.78942897878608,6.25046789854062,5.79546829663511,5.44099034206649,6.23393046707059,5.6654762092021,5.35418216242128,5.52860300602511,5.74542575494867,5.77586951998439,5.75970767393125,5.93965513015459,5.74563997944704,5.80514411282888,"Spout1"
"100056_at",7.91082859187798,7.90679872571314,7.41226599821767,7.61371613862476,7.47884705215042,7.69671406252575,7.23667593584632,7.32047622906854,7.37248835251132,7.37564445344135,7.06638732756691,7.41373706003605,6.73668717140787,7.33417911668628,7.46980933161054,7.71677863380726,7.60571458450082,7.43148900827549,7.26378253034236,"Fbxw2"
"100057_at",7.8306501925455,7.41072843529914,7.23016716057659,7.09264866154533,7.63005987475323,7.44728578020541,8.15184449574397,7.33294109187784,7.16612453523332,7.80766895060362,7.3033445260588,7.16825159116835,6.75222800934362,7.57714991888697,7.3308044495308,7.13490757229882,7.33508066602077,7.27572497553251,6.88492235208577,"Nsmce1"
"100058_at",5.70708680706322,6.23727251233119,6.1078074360784,6.12528527098832,5.70631404756781,6.1223668274751,5.39024514644041,5.54982599728118,5.74230390403882,5.33818365234801,5.41978726389485,5.57833181581586,5.6038624231704,5.5527258670297,5.41064492274709,5.83162829617868,5.7904255418762,5.96681634324995,5.83417079069279,"Fam220a"
"100059_at",10.3434848567381,9.60199687414547,9.93082441377434,10.0793944902132,9.8079207952969,9.55852828568536,10.3728847517542,9.37068680344967,9.45261618224677,10.8482490803157,9.50110062478029,9.81814668986897,9.03395766803412,10.0709670065593,10.1533739157406,9.82329940214577,9.63414189775052,10.1252482354075,10.0173028782239,"Cyba"
"100060_i_at",2.55481369411485,2.6184426158242,2.42959417835503,2.46039401793534,2.37684176299207,2.51335428137643,2.5348400307814,2.4844071505667,2.46860501109063,2.46729407595235,2.42640686749457,2.43579983576591,2.46406785038141,2.51335428137643,2.70601265664651,2.79255274185852,2.55012044630545,2.7079720371087,2.51907855960381,"Klk1"
"100062_at",5.90763707734728,6.95784681254719,6.27594216158477,6.43884543869235,6.76214973022335,7.1922806073449,7.22816465125365,6.90637413348527,7.21932595050185,7.09793052115289,7.84527841084253,8.02232189579199,7.03479181045013,7.11151774080008,7.75052472825223,7.38927546695479,7.13737809997458,7.11565516539787,6.94164855249357,"Mcm3"
"100064_f_at",8.88911674457573,10.1596777302144,8.95822138390958,9.17875218963616,10.2298544685355,9.97661380071782,10.3799629928924,10.398148019884,10.348451793906,10.7419764856322,11.1194946401606,10.7720271284101,10.7821617381003,10.8525317118098,10.7656597108078,10.9604743311823,10.656542553889,10.3920104315752,10.5034488126447,"Gja1"
"100066_at",8.51036147512102,8.3936997537468,8.2918153545511,8.23425918726628,8.42433469019006,8.4115642184019,8.42137480519027,8.58572270531028,8.38534336207806,8.41942174824779,8.69195793528848,8.67802702942349,8.25878523980772,8.46766657120057,8.34188803711036,8.07088834601555,8.18847049774612,8.13984878191879,7.97499617537643,"Gart"
"100068_at",6.37558089372435,7.81828923500716,7.25107264342,6.2533321502271,6.86011318564126,7.25461285116851,6.42813264761045,6.96076607502755,7.07306967177232,6.49886109000378,6.27665732230268,6.44021392639043,6.22881812266228,7.92671942858602,6.4310848298029,5.77626189343861,6.43407856171664,6.29159511987987,5.39062232456606,"Aldh1a1"
"100069_at",6.42843693294673,6.88367753784398,6.61484551338306,6.27378016487515,6.17178592159202,6.65093923076258,6.15480227033191,6.38826726259464,6.25762023485601,5.83223416885393,6.12542322647401,6.21936062804798,5.64732595442639,6.43920433619181,6.20273401488777,5.93629897839589,5.98639164137538,6.19742171021221,5.78710924036626,"Cyp2f2"
"100072_at",7.41482433411967,7.28064010795319,7.2886593297351,7.21450314634949,7.2913312149454,7.12589915253039,7.26811547707196,6.95825555385346,6.84792968844382,7.46231988341567,7.2025764374561,6.9579917197575,6.39125416279655,7.32437676051734,7.1494072618172,7.10381537510475,7.19071541191387,7.1852754697475,7.08700469431484,"Ciao1"
"100073_at",5.54373032787049,5.54643476149545,5.57229418619927,5.45435756563778,5.61774420276626,5.36129769552204,5.71662648526699,5.3251656439282,4.8302684545027,4.97510560827345,5.41033257263595,5.07770120857544,4.83509978236271,5.34996747635624,4.93265163853745,4.99276279227617,5.35841528677378,5.3770708406457,5.15999961117417,"Eef1akmt1"
"100074_at",6.38364457999793,6.46868707492958,6.77625489376527,6.93755196645153,6.57415743990922,6.53935157750949,6.77436981268964,6.30152426968487,6.13701173701809,6.96372599265945,6.40974484775036,6.32113150934079,7.04767030955756,6.71127579165146,6.27790977505504,6.80281383595167,6.69757169381056,6.55864368087419,6.79457348126356,"Tmed9"
"100078_at",5.79750032507025,5.13065807513514,5.30319630501582,5.28428856334759,5.48703518002814,5.15885394276229,5.63543750891892,5.34874492164976,5.45735548012928,5.60621620344765,5.25436455242523,5.32348638107668,5.4078807337231,5.66905041052651,5.19825142057699,5.64357487265814,5.24526798279279,5.37324638590149,5.58153013893521,"Apoa4"
"100079_at",8.02396573091086,8.42797660341178,7.65882437314006,7.31445916590347,7.84991645593925,8.1452374946645,7.82882728762721,7.72366953711179,8.07229118819862,7.68809319056641,7.82566852842818,8.15297026016809,6.78240172819729,7.91723804598422,7.68028496008538,7.00506792069005,7.52186562482077,7.5372061624126,7.11062252460119,"Ndufb9"
"100080_at",4.73143019112945,4.16278949625557,4.81053490456521,4.72883355087109,4.33712732501844,4.34728419147879,4.31430236522764,4.5696668696739,4.64479882401391,4.35560511626107,4.48925529820125,4.53042908932159,5.02360011866431,4.32349359910186,4.46518765278575,4.81524424160443,4.57790606194688,4.45740500555353,4.97943467283209,"Bpifa2"
"100081_at",3.81183080218296,4.00895008567526,3.84384236271967,3.74225524343645,4.12589231260561,4.21827507120921,4.35706556817081,3.79419331581549,3.4265127869585,3.88922982964424,4.13040168965538,3.58285582713509,3.81769078995649,4.24599655268998,3.72558325335523,3.55469284319661,3.71294149059941,3.95065023751292,3.84171052868657,"Stip1"
"100082_at",6.99866463476527,6.32425571881986,6.87439886918285,6.68830327340446,7.0025986377134,6.52310269490601,6.85232101141824,6.84950643766809,7.08170235136181,6.86391313090404,6.67302210515167,6.90580920873426,7.01716320526731,6.42489824191815,6.80297976977009,6.8726692217276,6.60006609555127,6.73882308244131,6.87349245053184,"Hnf1a"
"100084_at",6.46974173572155,7.72839676093079,6.56902899928153,7.04344556895446,6.76192981501057,7.52810363370865,6.87203162991195,7.18577967929306,7.28446880307771,7.10271706441984,7.39177907471179,7.27120413431579,6.91143718777602,7.73344104908279,7.97763450436611,7.75289994619155,7.55425648573749,7.83699030364577,7.4466583605062,"Ezr"
"100085_at",5.46798063559949,4.60436203070875,5.07193164880528,4.83885452694019,4.89395089630831,4.58122089709465,4.95883225927862,4.88601727454449,5.02781769545445,4.57127359959465,4.88263502614894,4.94478830677493,4.97899181512116,4.76098418846138,4.74730020661925,5.01199302495563,4.94241853580279,5.02474931785668,5.05990126174461,"Ggt1"
"100086_at",8.13544663773366,7.74554834116541,7.62432098680226,7.58071784963817,7.70945676387616,7.65555937168063,7.72295943071791,7.37468430826765,7.28461929564094,7.61941413431087,7.42592082548989,7.08736855227906,7.30306054272025,7.43025200064074,7.39590549423789,7.15952901202372,7.40866408320157,7.42148598183468,7.27441817049442,"Lrpap1"
